iter	RMSE
0	66.53414959
1	65.08898981
2	63.70879426
3	62.38577224
4	61.11610514
5	59.90360071
6	58.74542123
7	57.59855738
8	56.53631803
9	55.48766251
10	54.51133074
11	53.57123523
12	52.63259278
13	51.7432138
14	50.88518205
15	50.05325682
16	49.2710012
17	48.42911824
18	47.66062792
19	46.91599689
20	46.21004049
21	45.52642785
22	44.87198303
23	44.22521743
24	43.63964255
25	43.04692067
26	42.51263477
27	41.92931071
28	41.37557463
29	40.85098506
30	40.30217959
31	39.77442644
32	39.30582623
33	38.85574215
34	38.39767592
35	37.98537891
36	37.59602199
37	37.21790806
38	36.82761517
39	36.49011338
40	36.15306948
41	35.82870445
42	35.49038403
43	35.19501105
44	34.90055368
45	34.63444053
46	34.37284477
47	34.1466107
48	33.88045734
49	33.65192112
50	33.40522851
51	33.20530355
52	33.01286138
53	32.84859182
54	32.66451188
55	32.49669828
56	32.33622412
57	32.17444001
58	32.02563071
59	31.89446322
60	31.75459703
61	31.60944624
62	31.49463275
63	31.35194685
64	31.22198581
65	31.09732558
66	30.97270847
67	30.85793612
68	30.74192224
69	30.65196465
70	30.55040072
71	30.46098463
72	30.37032824
73	30.27507568
74	30.16357734
75	30.06795709
76	29.96142965
77	29.86335256
78	29.77439517
79	29.66599865
80	29.58409015
81	29.49619421
82	29.41932137
83	29.34419969
84	29.24089379
85	29.14858403
86	29.05911409
87	29.00958772
88	28.92922383
89	28.83685196
90	28.77875455
91	28.73855169
92	28.6557191
93	28.58784608
94	28.5234428
95	28.46086935
96	28.41430114
97	28.35345535
98	28.30261676
99	28.26118879
100	28.21736441
101	28.17084082
102	28.13260887
103	28.08784655
104	28.03129384
105	27.98444251
106	27.94637472
107	27.8887042
108	27.85026265
109	27.80484334
110	27.74553467
111	27.71768171
112	27.6884714
113	27.66646033
114	27.63937406
115	27.59469651
116	27.56263221
117	27.53927628
118	27.50783874
119	27.46771372
120	27.43852789
121	27.42437838
122	27.404117
123	27.37274318
124	27.33982447
125	27.31024872
126	27.30684873
127	27.29871311
128	27.27947753
129	27.25852242
130	27.25465758
131	27.23756221
132	27.23124638
133	27.20532898
134	27.19736293
135	27.17035893
136	27.15619633
137	27.14176245
138	27.11861929
139	27.08150858
140	27.06946007
141	27.0665742
142	27.05644026
143	27.04433777
144	27.03410108
145	27.00483673
146	26.98353248
147	26.98343412
