iter	Passed	Remaining
0	30	24541
1	64	25811
2	98	26073
3	131	26098
4	161	25682
5	193	25671
6	224	25383
7	255	25276
8	288	25336
9	319	25245
10	351	25199
11	382	25115
12	416	25210
13	454	25524
14	482	25232
15	510	25001
16	537	24754
17	565	24577
18	594	24435
19	621	24257
20	649	24096
21	676	23931
22	704	23786
23	746	24140
24	793	24596
25	840	25033
26	871	24947
27	903	24897
28	941	25022
29	971	24939
30	1009	25031
31	1037	24903
32	1074	24971
33	1107	24951
34	1137	24858
35	1165	24732
36	1197	24688
37	1225	24573
38	1253	24456
39	1291	24533
40	1322	24486
41	1354	24448
42	1392	24522
43	1425	24487
44	1457	24445
45	1485	24348
46	1513	24252
47	1548	24252
48	1582	24248
49	1612	24184
50	1641	24109
51	1670	24025
52	1696	23917
53	1724	23827
54	1752	23741
55	1786	23738
56	1819	23717
57	1850	23675
58	1879	23607
59	1910	23565
60	1939	23492
61	1968	23428
62	1995	23347
63	2023	23268
64	2051	23193
65	2079	23126
66	2107	23055
67	2135	22990
68	2164	22934
69	2199	22941
70	2232	22919
71	2262	22878
72	2291	22822
73	2326	22826
74	2364	22856
75	2394	22812
76	2425	22771
77	2454	22716
78	2482	22654
79	2510	22593
80	2537	22527
81	2567	22485
82	2595	22424
83	2625	22383
84	2654	22326
85	2683	22277
86	2712	22231
87	2742	22186
88	2772	22151
89	2800	22096
90	2830	22053
91	2863	22035
92	2893	21995
93	2922	21952
94	2956	21940
95	2987	21910
96	3017	21869
97	3047	21829
98	3077	21793
99	3108	21758
100	3144	21765
101	3187	21814
102	3221	21800
103	3253	21771
104	3288	21763
105	3321	21747
106	3354	21726
107	3386	21700
108	3416	21660
109	3451	21652
110	3483	21624
111	3515	21598
112	3552	21597
113	3584	21571
114	3622	21579
115	3651	21533
116	3681	21493
117	3710	21444
118	3742	21415
119	3773	21381
120	3801	21334
121	3830	21286
122	3860	21247
123	3889	21203
124	3916	21149
125	3951	21135
126	3978	21085
127	4006	21036
128	4036	20994
129	4072	20989
130	4088	20878
131	4118	20841
132	4146	20795
133	4175	20754
134	4204	20708
135	4240	20704
136	4273	20679
137	4303	20646
138	4334	20610
139	4363	20572
140	4391	20524
141	4419	20480
142	4454	20465
143	4489	20450
144	4520	20419
145	4552	20393
146	4588	20382
147	4605	20287
148	4636	20256
149	4667	20225
150	4696	20187
151	4725	20146
152	4754	20106
153	4783	20066
154	4812	20026
155	4846	20006
156	4879	19983
157	4901	19915
158	4930	19877
159	4959	19838
160	4986	19792
161	5015	19750
162	5049	19733
163	5081	19705
164	5117	19693
165	5153	19681
166	5192	19682
167	5226	19662
168	5256	19627
169	5285	19586
170	5314	19548
171	5342	19505
172	5356	19413
173	5386	19379
174	5423	19369
175	5454	19337
176	5486	19311
177	5516	19278
178	5545	19237
179	5573	19196
180	5605	19170
181	5638	19147
182	5668	19111
183	5699	19079
184	5729	19047
185	5761	19017
186	5792	18987
187	5843	19022
188	5888	19037
189	5919	19005
190	5948	18967
191	5978	18932
192	6020	18933
193	6036	18856
194	6065	18817
195	6095	18782
196	6123	18744
197	6151	18702
198	6178	18658
199	6207	18622
200	6236	18586
201	6264	18544
202	6294	18510
203	6330	18494
204	6364	18473
205	6397	18447
206	6426	18410
207	6455	18373
208	6484	18336
209	6512	18296
210	6543	18265
211	6575	18238
212	6603	18198
213	6633	18163
214	6664	18134
215	6694	18100
216	6724	18064
217	6752	18027
218	6777	17979
219	6803	17936
220	6818	17864
221	6854	17846
222	6884	17813
223	6913	17778
224	6928	17705
225	6955	17665
226	6985	17633
227	7013	17596
228	7041	17558
229	7069	17519
230	7101	17491
231	7134	17466
232	7163	17432
233	7191	17395
234	7221	17362
235	7235	17292
236	7264	17255
237	7292	17220
238	7321	17185
239	7349	17148
240	7378	17113
241	7405	17076
242	7433	17038
243	7467	17015
244	7505	17003
245	7537	16974
246	7560	16927
247	7592	16898
248	7620	16862
249	7649	16828
250	7695	16831
251	7782	16923
252	7816	16900
253	7846	16867
254	7885	16853
255	7906	16800
256	7929	16752
257	7994	16794
258	8038	16791
259	8071	16763
260	8101	16730
261	8135	16705
262	8165	16671
263	8189	16626
264	8221	16598
265	8253	16569
266	8268	16506
267	8299	16475
268	8316	16415
269	8347	16385
270	8382	16362
271	8417	16339
272	8450	16312
273	8482	16284
274	8515	16256
275	8538	16210
276	8553	16150
277	8588	16126
278	8708	16261
279	8751	16253
280	8783	16223
281	8801	16166
282	8825	16122
283	8867	16111
284	8905	16092
285	8933	16055
286	8990	16070
287	9085	16151
288	9128	16141
289	9218	16211
290	9273	16220
291	9295	16172
292	9399	16263
293	9454	16272
294	9563	16371
295	9600	16347
296	9636	16320
297	9675	16298
298	9744	16327
299	9806	16344
300	9838	16310
301	9854	16249
302	9884	16213
303	9914	16176
304	9945	16141
305	9976	16105
306	9992	16046
307	10022	16010
308	10055	15977
309	10116	15990
310	10177	16002
311	10194	15945
312	10209	15885
313	10240	15850
314	10271	15814
315	10309	15789
316	10384	15821
317	10441	15826
318	10496	15826
319	10562	15843
320	10599	15816
321	10670	15840
322	10733	15851
323	10753	15798
324	10789	15769
325	10839	15760
326	10906	15775
327	10972	15789
328	11016	15770
329	11088	15793
330	11138	15781
331	11170	15745
332	11200	15708
333	11231	15669
334	11264	15635
335	11295	15597
336	11324	15558
337	11356	15522
338	11387	15485
339	11418	15448
340	11449	15411
341	11481	15375
342	11505	15329
343	11538	15294
344	11569	15258
345	11605	15227
346	11638	15193
347	11669	15157
348	11701	15121
349	11732	15084
350	11763	15047
351	11795	15011
352	11827	14977
353	11861	14944
354	11896	14912
355	11927	14876
356	11960	14842
357	11994	14808
358	12025	14772
359	12057	14736
360	12093	14706
361	12129	14675
362	12167	14648
363	12200	14614
364	12232	14578
365	12264	14543
366	12301	14514
367	12345	14492
368	12414	14500
369	12445	14463
370	12478	14428
371	12507	14390
372	12538	14353
373	12568	14315
374	12605	14286
375	12637	14250
376	12669	14215
377	12699	14178
378	12731	14142
379	12762	14105
380	12792	14068
381	12823	14032
382	12856	13998
383	12889	13963
384	12922	13929
385	12954	13894
386	12986	13858
387	13017	13822
388	13052	13790
389	13092	13764
390	13143	13748
391	13285	13828
392	13353	13828
393	13418	13827
394	13459	13800
395	13489	13761
396	13516	13721
397	13545	13681
398	13574	13642
399	13604	13604
400	13631	13563
401	13659	13523
402	13686	13482
403	13717	13445
404	13753	13414
405	13786	13378
406	13815	13340
407	13843	13300
408	13873	13262
409	13901	13222
410	13929	13183
411	13958	13145
412	13988	13107
413	14019	13071
414	14048	13033
415	14076	12993
416	14104	12954
417	14132	12915
418	14160	12875
419	14188	12837
420	14216	12797
421	14243	12758
422	14270	12718
423	14300	12681
424	14328	12642
425	14356	12604
426	14386	12567
427	14415	12529
428	14443	12490
429	14470	12451
430	14504	12418
431	14532	12379
432	14560	12341
433	14588	12302
434	14617	12264
435	14646	12227
436	14675	12190
437	14704	12152
438	14734	12116
439	14762	12078
440	14789	12039
441	14818	12001
442	14848	11965
443	14878	11929
444	14905	11891
445	14933	11853
446	14961	11815
447	14988	11776
448	15014	11737
449	15045	11701
450	15075	11666
451	15104	11628
452	15130	11590
453	15156	11551
454	15186	11515
455	15213	11476
456	15241	11439
457	15269	11401
458	15296	11364
459	15324	11326
460	15353	11290
461	15383	11254
462	15412	11217
463	15440	11180
464	15465	11142
465	15501	11110
466	15530	11073
467	15557	11036
468	15585	10999
469	15613	10962
470	15641	10925
471	15670	10889
472	15699	10853
473	15727	10816
474	15755	10780
475	15782	10742
476	15811	10706
477	15838	10669
478	15866	10632
479	15893	10595
480	15920	10558
481	15950	10523
482	15977	10486
483	16006	10450
484	16033	10413
485	16060	10376
486	16088	10340
487	16115	10303
488	16144	10267
489	16172	10231
490	16199	10194
491	16227	10158
492	16253	10121
493	16281	10085
494	16309	10049
495	16337	10013
496	16365	9977
497	16395	9942
498	16424	9907
499	16450	9870
500	16477	9833
501	16507	9798
502	16533	9762
503	16566	9729
504	16593	9693
505	16624	9659
506	16651	9622
507	16689	9593
508	16720	9559
509	16758	9529
510	16789	9495
511	16820	9461
512	16849	9426
513	16875	9389
514	16903	9354
515	16939	9323
516	16972	9290
517	17002	9256
518	17032	9221
519	17062	9187
520	17092	9153
521	17123	9119
522	17155	9086
523	17183	9050
524	17211	9015
525	17238	8979
526	17266	8944
527	17295	8909
528	17331	8878
529	17363	8845
530	17393	8811
531	17423	8777
532	17457	8745
533	17488	8711
534	17515	8675
535	17545	8642
536	17581	8610
537	17613	8577
538	17643	8543
539	17673	8509
540	17701	8474
541	17728	8439
542	17757	8404
543	17791	8372
544	17825	8340
545	17855	8306
546	17885	8272
547	17915	8238
548	17943	8203
549	17971	8168
550	17998	8133
551	18032	8101
552	18065	8069
553	18095	8035
554	18131	8004
555	18162	7970
556	18191	7936
557	18220	7901
558	18250	7868
559	18279	7833
560	18307	7799
561	18340	7767
562	18372	7734
563	18402	7700
564	18431	7666
565	18469	7635
566	18502	7603
567	18533	7570
568	18564	7536
569	18595	7503
570	18623	7468
571	18650	7434
572	18680	7400
573	18714	7368
574	18747	7335
575	18776	7302
576	18811	7270
577	18843	7237
578	18873	7203
579	18903	7170
580	18938	7138
581	18969	7105
582	18997	7071
583	19027	7037
584	19057	7004
585	19085	6969
586	19114	6936
587	19144	6902
588	19171	6868
589	19202	6834
590	19231	6801
591	19260	6767
592	19288	6733
593	19315	6698
594	19343	6664
595	19372	6630
596	19400	6596
597	19426	6562
598	19454	6528
599	19484	6494
600	19513	6461
601	19544	6428
602	19572	6394
603	19599	6360
604	19627	6326
605	19657	6292
606	19685	6259
607	19714	6225
608	19743	6192
609	19772	6158
610	19800	6124
611	19828	6091
612	19856	6057
613	19885	6023
614	19917	5991
615	19948	5958
616	19982	5926
617	20010	5893
618	20039	5859
619	20066	5825
620	20093	5791
621	20122	5758
622	20158	5727
623	20192	5695
624	20222	5662
625	20251	5629
626	20290	5598
627	20320	5565
628	20351	5532
629	20390	5502
630	20422	5469
631	20450	5436
632	20480	5403
633	20508	5369
634	20536	5336
635	20564	5302
636	20593	5269
637	20625	5237
638	20654	5203
639	20684	5171
640	20712	5137
641	20740	5104
642	20767	5070
643	20796	5037
644	20823	5004
645	20851	4970
646	20880	4937
647	20907	4904
648	20936	4871
649	20964	4837
650	20994	4805
651	21028	4773
652	21063	4741
653	21098	4709
654	21134	4678
655	21165	4645
656	21194	4613
657	21224	4580
658	21253	4547
659	21282	4514
660	21309	4481
661	21338	4448
662	21366	4415
663	21394	4382
664	21426	4349
665	21457	4317
666	21496	4286
667	21529	4254
668	21559	4221
669	21589	4189
670	21617	4155
671	21645	4123
672	21678	4090
673	21712	4059
674	21749	4027
675	21779	3995
676	21809	3962
677	21838	3929
678	21866	3896
679	21893	3863
680	21926	3831
681	21957	3799
682	21990	3767
683	22019	3734
684	22049	3701
685	22082	3669
686	22119	3638
687	22158	3607
688	22189	3574
689	22219	3542
690	22252	3510
691	22345	3487
692	22400	3458
693	22429	3425
694	22457	3392
695	22493	3361
696	22527	3329
697	22556	3296
698	22591	3264
699	22623	3231
700	22651	3199
701	22681	3166
702	22712	3133
703	22743	3101
704	22775	3068
705	22803	3036
706	22834	3003
707	22870	2971
708	22906	2940
709	22935	2907
710	22973	2875
711	23010	2843
712	23044	2811
713	23084	2780
714	23114	2747
715	23146	2715
716	23179	2683
717	23216	2651
718	23252	2619
719	23322	2591
720	23386	2562
721	23425	2530
722	23489	2501
723	23532	2470
724	23576	2438
725	23609	2406
726	23641	2373
727	23669	2340
728	23698	2308
729	23728	2275
730	23759	2242
731	23787	2209
732	23814	2176
733	23842	2143
734	23869	2110
735	23897	2078
736	23924	2045
737	23960	2012
738	24000	1981
739	24037	1949
740	24079	1917
741	24121	1885
742	24170	1854
743	24206	1822
744	24238	1789
745	24271	1756
746	24302	1724
747	24430	1698
748	24635	1677
749	24699	1646
750	24790	1617
751	24827	1584
752	24869	1552
753	24898	1519
754	24927	1485
755	24961	1452
756	24988	1419
757	25021	1386
758	25052	1353
759	25080	1320
760	25111	1286
761	25142	1253
762	25172	1220
763	25200	1187
764	25229	1154
765	25257	1121
766	25290	1088
767	25322	1055
768	25349	1021
769	25377	988
770	25407	955
771	25435	922
772	25463	889
773	25493	856
774	25522	823
775	25550	790
776	25579	757
777	25607	724
778	25637	691
779	25667	658
780	25698	625
781	25727	592
782	25758	559
783	25787	526
784	25817	493
785	25846	460
786	25875	427
787	25903	394
788	25931	361
789	25960	328
790	25989	295
791	26019	262
792	26047	229
793	26076	197
794	26108	164
795	26135	131
796	26164	98
797	26194	65
798	26222	32
799	26252	0
